Date,Alemania,Sudáfrica,España
2020-10-07 00:00:00+00:00,306086,685155,835901
2020-10-08 00:00:00+00:00,310144,686891,848324
2020-10-09 00:00:00+00:00,314660,688352,861112
2020-10-10 00:00:00+00:00,319381,690896,861112
2020-10-11 00:00:00+00:00,322864,692471,861112
2020-10-12 00:00:00+00:00,325331,693359,888968
2020-10-13 00:00:00+00:00,329453,694537,896086
2020-10-14 00:00:00+00:00,334585,696414,908056
2020-10-15 00:00:00+00:00,341223,698184,921374
2020-10-16 00:00:00+00:00,348557,700203,936560
2020-10-17 00:00:00+00:00,356387,702131,936560
2020-10-18 00:00:00+00:00,361974,703793,936560
2020-10-19 00:00:00+00:00,366299,705254,974449
2020-10-20 00:00:00+00:00,373167,706304,988322
2020-10-21 00:00:00+00:00,380762,708359,1005295
2020-10-22 00:00:00+00:00,392049,710515,1026281
2020-10-23 00:00:00+00:00,403291,712412,1046132
2020-10-24 00:00:00+00:00,418005,714246,1046132
2020-10-25 00:00:00+00:00,429181,715868,1046132
2020-10-26 00:00:00+00:00,437866,716759,1098320
2020-10-27 00:00:00+00:00,449275,717851,1116738
2020-10-28 00:00:00+00:00,464239,719714,1136503
2020-10-29 00:00:00+00:00,481013,721770,1160083
2020-10-30 00:00:00+00:00,499694,723682,1185678
2020-10-31 00:00:00+00:00,518753,725452,1185678
2020-11-01 00:00:00+00:00,532930,726823,1185678
2020-11-02 00:00:00+00:00,545027,727595,1240697
2020-11-03 00:00:00+00:00,560379,728836,1259366
2020-11-04 00:00:00+00:00,577593,730548,1284408
2020-11-05 00:00:00+00:00,597583,732414,1306316
2020-11-06 00:00:00+00:00,619089,734175,1328832
2020-11-07 00:00:00+00:00,642488,735906,1328832
2020-11-08 00:00:00+00:00,658505,737278,1328832
2020-11-09 00:00:00+00:00,671868,738525,1381218
2020-11-10 00:00:00+00:00,687200,740254,1381218
2020-11-11 00:00:00+00:00,705687,742394,1417709
2020-11-12 00:00:00+00:00,727553,744732,1437220
2020-11-13 00:00:00+00:00,751095,746945,1458591
2020-11-14 00:00:00+00:00,773556,749182,1458591
2020-11-15 00:00:00+00:00,790503,751024,1458591
2020-11-16 00:00:00+00:00,801327,752269,1496864
2020-11-17 00:00:00+00:00,815746,754256,1510023
2020-11-18 00:00:00+00:00,833307,757144,1525341
2020-11-19 00:00:00+00:00,855916,759658,1541574
2020-11-20 00:00:00+00:00,879564,762763,1556730
2020-11-21 00:00:00+00:00,902528,765409,1556730
2020-11-22 00:00:00+00:00,918269,767679,1556730
2020-11-23 00:00:00+00:00,929133,769759,1582616
2020-11-24 00:00:00+00:00,942687,772252,1594844
